,RBF
1,0.5754119138149556
4,0.8745247148288974
7,0.9416983523447402
10,0.9695817490494296
13,0.991128010139417
16,0.9746514575411914
19,0.9695817490494296
22,0.9873257287705957
25,0.9809885931558935
28,0.9885931558935361
31,0.9898605830164765
34,0.9936628643852978
37,0.9961977186311787
40,0.9961977186311787
43,0.9961977186311787
46,0.9961977186311787
49,0.9974651457541192
52,0.9974651457541192
55,0.9974651457541192
58,0.9974651457541192
61,0.9961977186311787
64,0.9961977186311787
67,0.9961977186311787
70,0.9949302915082383
73,0.9949302915082383
76,0.9949302915082383
79,0.9936628643852978
82,0.9949302915082383
85,0.9949302915082383
88,0.9923954372623575
91,0.9923954372623575
94,0.9885931558935361
97,0.9885931558935361
100,0.9835234474017744
103,0.9809885931558935
106,0.9797211660329531
109,0.9797211660329531
112,0.9746514575411914
115,0.973384030418251
118,0.9708491761723701
121,0.9683143219264893
124,0.9619771863117871
127,0.9645120405576679
130,0.9569074778200254
133,0.9581749049429658
136,0.9632446134347274
139,0.9632446134347274
142,0.9594423320659062
145,0.9569074778200254
148,0.9543726235741445
151,0.9505703422053232
154,0.9493029150823827
157,0.944233206590621
160,0.9391634980988594
163,0.9378960709759189
166,0.9378960709759189
169,0.9340937896070975
172,0.9328263624841572
175,0.9214195183776933
178,0.9214195183776933
181,0.9214195183776933
184,0.9226869455006337
187,0.9163498098859315
190,0.9163498098859315
193,0.9138149556400507
196,0.9138149556400507
199,0.9100126742712294
202,0.908745247148289
205,0.908745247148289
208,0.9138149556400507
211,0.908745247148289
214,0.9062103929024081
217,0.9062103929024081
220,0.9036755386565273
223,0.9049429657794676
226,0.899873257287706
229,0.8935361216730038
232,0.8922686945500634
235,0.8884664131812421
238,0.8935361216730038
241,0.8910012674271229
244,0.8922686945500634
247,0.8859315589353612
250,0.8846641318124208
253,0.8846641318124208
256,0.8808618504435995
259,0.8821292775665399
262,0.8770595690747782
265,0.8795944233206591
268,0.8757921419518377
271,0.8770595690747782
274,0.870722433460076
277,0.8719898605830165
280,0.870722433460076
283,0.8643852978453739
286,0.8669201520912547
289,0.8605830164765526
292,0.8593155893536122
295,0.8567807351077313
298,0.8555133079847909
301,0.8542458808618505
304,0.8517110266159695
307,0.8491761723700887
310,0.8504435994930292
313,0.8504435994930292
316,0.8479087452471483
319,0.8479087452471483
322,0.8517110266159695
325,0.8491761723700887
328,0.8491761723700887
331,0.8491761723700887
334,0.844106463878327
337,0.8428390367553865
340,0.8390367553865653
343,0.8377693282636248
346,0.835234474017744
349,0.8377693282636248
